,,accuracy,accuracy,f1_macro,f1_macro,mae,mae
,,mean,std,mean,std,mean,std
attribut,fraction_retirée,,,,,,
dorm,0.1,0.6499,0.1232,0.5613,0.1896,9.4423,11.1116
dorm,0.2,0.6373,0.1158,0.5222,0.1841,9.5926,11.6259
dorm,0.3,0.6202,0.1054,0.5183,0.1777,10.0588,12.0159
gender,0.1,0.645,0.1115,0.6043,0.0859,0.355,0.1115
gender,0.2,0.6414,0.1079,0.592,0.0696,0.3586,0.1079
gender,0.3,0.6446,0.1065,0.5949,0.0731,0.3554,0.1065
major_index,0.1,0.2936,0.0751,0.1591,0.0631,18.6745,8.7291
major_index,0.2,0.275,0.0746,0.1387,0.0557,18.9,8.8274
major_index,0.3,0.2705,0.0681,0.1332,0.0568,19.0221,8.784
