attribut,fraction_retirée,n_test,accuracy,f1_macro,mae,network
dorm,0.1,898,0.5712694877505567,0.5316864807205645,11.144766146993318,UNC28
dorm,0.2,1797,0.5464663327768503,0.46514911182582425,10.74958263772955,UNC28
dorm,0.3,2696,0.5489614243323442,0.47403659394935027,11.504451038575668,UNC28
major_index,0.1,1549,0.26533247256294384,0.1370853722238116,18.72369270497095,UNC28
major_index,0.2,3098,0.26081342801807617,0.144773597093646,18.719819238218204,UNC28
major_index,0.3,4647,0.24445879061760276,0.1352998310631839,19.48267699591134,UNC28
gender,0.1,1682,0.6319857312722948,0.5961565836851073,0.3680142687277051,UNC28
gender,0.2,3364,0.6364447086801427,0.6005043494557172,0.3635552913198573,UNC28
gender,0.3,5046,0.6359492667459373,0.592776101324155,0.3640507332540626,UNC28
dorm,0.1,370,0.5540540540540541,0.5501455646782293,5.037837837837838,Carnegie49
dorm,0.2,740,0.5851351351351352,0.5157582811057266,4.885135135135135,Carnegie49
dorm,0.3,1111,0.5391539153915391,0.4837174795530885,5.266426642664267,Carnegie49
major_index,0.1,583,0.5008576329331046,0.34654308225542,6.262435677530017,Carnegie49
major_index,0.2,1166,0.47684391080617494,0.28924391072773153,6.2924528301886795,Carnegie49
major_index,0.3,1750,0.4582857142857143,0.2924150516458191,6.585714285714285,Carnegie49
gender,0.1,608,0.6875,0.6672466039105438,0.3125,Carnegie49
gender,0.2,1217,0.6589975349219392,0.6378633251425265,0.3410024650780608,Carnegie49
gender,0.3,1825,0.6794520547945205,0.657705532979056,0.32054794520547947,Carnegie49
dorm,0.1,653,0.7105666156202144,0.6740723803562598,4.274119448698316,Baylor93
dorm,0.2,1306,0.6983154670750383,0.7004195137143855,4.756508422664624,Baylor93
dorm,0.3,1960,0.6693877551020408,0.6749622654206864,5.053061224489796,Baylor93
major_index,0.1,1156,0.2889273356401384,0.17288104724880754,31.04325259515571,Baylor93
major_index,0.2,2312,0.28243944636678203,0.15363288934837402,31.80190311418685,Baylor93
major_index,0.3,3468,0.2710495963091119,0.1312876055296475,30.914648212226066,Baylor93
gender,0.1,1203,0.6450540315876975,0.5902382640839369,0.3549459684123026,Baylor93
gender,0.2,2406,0.6554447215295096,0.6034797855749131,0.34455527847049044,Baylor93
gender,0.3,3610,0.6459833795013851,0.5876290318428707,0.35401662049861493,Baylor93
dorm,0.1,200,0.56,0.4865760559732542,3.09,Wellesley22
dorm,0.2,401,0.4763092269326683,0.3992766834292387,3.2718204488778055,Wellesley22
dorm,0.3,602,0.5066445182724253,0.47393843859969964,3.425249169435216,Wellesley22
major_index,0.1,236,0.211864406779661,0.07394059327102491,18.300847457627118,Wellesley22
major_index,0.2,473,0.19661733615221988,0.06015528350815508,16.81183932346723,Wellesley22
major_index,0.3,710,0.18309859154929578,0.05276505975632098,17.288732394366196,Wellesley22
gender,0.1,269,0.9888475836431226,0.7828894269572235,0.011152416356877323,Wellesley22
gender,0.2,538,0.9888475836431226,0.6971857410881801,0.011152416356877323,Wellesley22
gender,0.3,807,0.990086741016109,0.7474968710888611,0.009913258983890954,Wellesley22
dorm,0.1,1826,0.6221248630887185,0.41323301803250356,44.89539978094195,Michigan23
dorm,0.2,3652,0.598302300109529,0.2911214485158569,47.61746987951807,Michigan23
dorm,0.3,5478,0.5903614457831325,0.28140549722946023,48.98722161372764,Michigan23
major_index,0.1,2509,0.2805898764447987,0.17791058829441267,34.89039457951375,Michigan23
major_index,0.2,5018,0.2783977680350737,0.16921890182870664,34.53049023515345,Michigan23
major_index,0.3,7527,0.26956290686860634,0.15973501285253963,35.143217749435365,Michigan23
gender,0.1,2775,0.6414414414414414,0.6372012811037201,0.35855855855855856,Michigan23
gender,0.2,5551,0.6514141596108809,0.6482800285863743,0.34858584038911905,Michigan23
gender,0.3,8327,0.6405668307914014,0.6360070106303748,0.3594331692085985,Michigan23
dorm,0.1,321,0.7757009345794392,0.8005153462530162,3.2710280373831777,Lehigh96
dorm,0.2,642,0.7149532710280374,0.7516418507667904,4.345794392523365,Lehigh96
dorm,0.3,964,0.6991701244813278,0.7080949889648906,5.281120331950207,Lehigh96
major_index,0.1,432,0.28935185185185186,0.1469855892422754,15.55324074074074,Lehigh96
major_index,0.2,864,0.24421296296296297,0.10123881890250243,17.21875,Lehigh96
major_index,0.3,1297,0.2536622976098689,0.08913629811302655,16.312259059367772,Lehigh96
gender,0.1,473,0.6701902748414377,0.6683745011325639,0.3298097251585624,Lehigh96
gender,0.2,947,0.6399155227032735,0.638157975826178,0.3600844772967265,Lehigh96
gender,0.3,1421,0.6558761435608726,0.6538016013822646,0.34412385643912735,Lehigh96
dorm,0.1,1316,0.7142857142857143,0.6147971627803547,8.193009118541033,Indiana69
dorm,0.2,2632,0.75,0.6197895102077559,7.376899696048632,Indiana69
dorm,0.3,3948,0.7259371833839919,0.5884400926118801,7.792553191489362,Indiana69
major_index,0.1,2672,0.24625748502994013,0.1238974368929126,35.59281437125748,Indiana69
major_index,0.2,5344,0.23633982035928144,0.11891924456431659,36.230351796407184,Indiana69
major_index,0.3,8016,0.23340818363273452,0.10906507858067427,36.062999001996005,Indiana69
gender,0.1,2762,0.560101375814627,0.5437420081127216,0.4398986241853729,Indiana69
gender,0.2,5524,0.5646270818247646,0.5457881549324624,0.4353729181752353,Indiana69
gender,0.3,8286,0.5677045619116582,0.542248635403506,0.43229543808834175,Indiana69
dorm,0.1,1122,0.6488413547237076,0.4763140637472328,19.862745098039216,Cornell5
dorm,0.2,2244,0.6448306595365418,0.4653790601321102,18.803475935828878,Cornell5
dorm,0.3,3366,0.6084373143196673,0.4364025548418544,21.036541889483065,Cornell5
major_index,0.1,1606,0.42341220423412207,0.22640065973583,16.513698630136986,Cornell5
major_index,0.2,3212,0.4143835616438356,0.20729042638629727,17.366749688667497,Cornell5
major_index,0.3,4818,0.3908260689082607,0.2097394683599247,18.200913242009133,Cornell5
gender,0.1,1679,0.658129839189994,0.6579452852153667,0.34187016081000593,Cornell5
gender,0.2,3359,0.655254540041679,0.6552212627213833,0.34474545995832095,Cornell5
gender,0.3,5039,0.6521135145862275,0.6519924113623126,0.3478864854137726,Cornell5
dorm,0.1,59,0.9152542372881356,0.9205266955266955,0.23728813559322035,Caltech36
dorm,0.2,118,0.8728813559322034,0.7765305590321234,0.4152542372881356,Caltech36
dorm,0.3,178,0.8033707865168539,0.7889609732399288,0.6179775280898876,Caltech36
major_index,0.1,68,0.29411764705882354,0.1544353307511202,10.5,Caltech36
major_index,0.2,137,0.19708029197080293,0.08628525860104806,10.401459854014599,Caltech36
major_index,0.3,206,0.2815533980582524,0.14945057360035152,9.669902912621358,Caltech36
gender,0.1,69,0.5797101449275363,0.4449375866851595,0.42028985507246375,Caltech36
gender,0.2,139,0.6258992805755396,0.4602747909199522,0.37410071942446044,Caltech36
gender,0.3,209,0.631578947368421,0.4831550888011048,0.3684210526315789,Caltech36
dorm,0.1,962,0.6392931392931392,0.5364323909944064,15.083160083160083,UVA16
dorm,0.2,1924,0.632016632016632,0.5583757831867978,15.044698544698544,UVA16
dorm,0.3,2886,0.6257796257796258,0.5594772775631813,15.116424116424117,UVA16
major_index,0.1,1413,0.25477707006369427,0.1444948317910088,20.4897381457891,UVA16
major_index,0.2,2826,0.27070063694267515,0.13430786444698498,19.610049539985845,UVA16
major_index,0.3,4239,0.2481717386175985,0.11526707076431857,21.4276952111347,UVA16
gender,0.1,1571,0.6721833227243794,0.6560742649868796,0.32781667727562064,UVA16
gender,0.2,3143,0.6770601336302895,0.660407303231743,0.32293986636971045,UVA16
gender,0.3,4714,0.6686465846414934,0.6497114732324227,0.3313534153585066,UVA16
dorm,0.1,318,0.6540880503144654,0.6403602117301086,6.99685534591195,UC64
dorm,0.2,636,0.6430817610062893,0.5438376751182178,7.581761006289308,UC64
dorm,0.3,954,0.6436058700209644,0.5639439971778694,7.045073375262055,UC64
major_index,0.1,593,0.2900505902192243,0.09306995942758171,14.843170320404722,UC64
major_index,0.2,1186,0.2715008431703204,0.10280784230576982,14.928330522765599,UC64
major_index,0.3,1779,0.2703766160764474,0.09814118547937992,15.786396852164136,UC64
gender,0.1,633,0.4976303317535545,0.4953013739845552,0.5023696682464455,UC64
gender,0.2,1266,0.518957345971564,0.5159976270516117,0.48104265402843605,UC64
gender,0.3,1900,0.5131578947368421,0.5093675209953014,0.4868421052631579,UC64
dorm,0.1,270,0.5444444444444444,0.37833973573450913,7.851851851851852,Bucknell39
dorm,0.2,540,0.5388888888888889,0.35831445197876277,8.325925925925926,Bucknell39
dorm,0.3,810,0.5185185185185185,0.3372407910348334,8.835802469135803,Bucknell39
major_index,0.1,319,0.3166144200626959,0.17279694889763464,18.53605015673981,Bucknell39
major_index,0.2,638,0.24921630094043887,0.0955590372937,20.79310344827586,Bucknell39
major_index,0.3,957,0.24660397074190177,0.09838402997331239,18.894461859979103,Bucknell39
gender,0.1,358,0.7094972067039106,0.6727259941633557,0.2905027932960894,Bucknell39
gender,0.2,717,0.6485355648535565,0.6138108510165348,0.3514644351464435,Bucknell39
gender,0.3,1075,0.6390697674418605,0.5859638673813778,0.36093023255813955,Bucknell39
dorm,0.1,773,0.8188874514877102,0.8177938793835977,0.6597671410090556,UCSC68
dorm,0.2,1546,0.8046571798188874,0.8046222460042252,0.6584734799482536,UCSC68
dorm,0.3,2319,0.8003449762828806,0.7996008466263345,0.696852091418715,UCSC68
major_index,0.1,773,0.23673997412677877,0.1424451575301955,15.877102199223803,UCSC68
major_index,0.2,1546,0.2445019404915912,0.15604003256878643,15.704398447606726,UCSC68
major_index,0.3,2320,0.22155172413793103,0.12950806676129528,16.421120689655172,UCSC68
gender,0.1,841,0.549346016646849,0.5129152588476744,0.450653983353151,UCSC68
gender,0.2,1683,0.5317884729649436,0.48823033655834974,0.4682115270350565,UCSC68
gender,0.3,2524,0.5431854199683043,0.4961731330725476,0.4568145800316957,UCSC68
dorm,0.1,240,0.5958333333333333,0.2128323855316591,6.241666666666666,Santa74
dorm,0.2,480,0.59375,0.17749177206294717,5.795833333333333,Santa74
dorm,0.3,721,0.579750346740638,0.18814824518977738,5.959778085991678,Santa74
major_index,0.1,304,0.23684210526315788,0.14938594823242587,11.141447368421053,Santa74
major_index,0.2,608,0.2565789473684211,0.14644200505661623,10.911184210526315,Santa74
major_index,0.3,912,0.24561403508771928,0.13083127589853322,10.847587719298245,Santa74
gender,0.1,340,0.5970588235294118,0.56293689889749,0.40294117647058825,Santa74
gender,0.2,680,0.575,0.5297203257402263,0.425,Santa74
gender,0.3,1020,0.5990196078431372,0.5340015347856829,0.40098039215686276,Santa74
dorm,0.1,744,0.42338709677419356,0.36640802059231864,4.795698924731183,BC17
dorm,0.2,1489,0.45936870382807254,0.40548070703292755,4.260577568838146,BC17
dorm,0.3,2233,0.44290192566054637,0.4156780606504208,4.263322884012539,BC17
major_index,0.1,927,0.2686084142394822,0.12410546048095351,11.848975188781013,BC17
major_index,0.2,1855,0.24474393530997304,0.11408145223694965,12.17843665768194,BC17
major_index,0.3,2783,0.2385914480776141,0.09745503120709126,12.293208767517068,BC17
gender,0.1,1069,0.5865294667913938,0.5754094059121233,0.41347053320860616,BC17
gender,0.2,2138,0.5921421889616464,0.5847108468946247,0.4078578110383536,BC17
gender,0.3,3207,0.6058621764889305,0.595177985357233,0.3941378235110695,BC17
