réseau,méthode,n_communautés,attribut,description,n_évalués,NMI,ARI
American75,Louvain,13,dorm,Résidence,3301,0.2660230995990487,0.11334776755223548
American75,Louvain,13,major_index,Discipline,5739,0.05877917313874933,0.01497672089393979
American75,Louvain,13,gender,Genre,5999,0.002859060419695493,0.004167253803130595
American75,Louvain,13,year,Année,5609,0.2894815657480601,0.2883969322999086
American75,Greedy Modularity,19,dorm,Résidence,3301,0.17347808129370568,0.05820141154436895
American75,Greedy Modularity,19,major_index,Discipline,5739,0.04127494953506967,0.008319524842892263
American75,Greedy Modularity,19,gender,Genre,5999,0.0033767925467203855,-0.0009284053058552773
American75,Greedy Modularity,19,year,Année,5609,0.29738653774035795,0.21735728711704938
Caltech36,Louvain,8,dorm,Résidence,594,0.7029427631890663,0.6930660236624255
Caltech36,Louvain,8,major_index,Discipline,687,0.07851914383932057,0.004779845811382365
Caltech36,Louvain,8,gender,Genre,699,0.007206204444887973,0.0012332710415771863
Caltech36,Louvain,8,year,Année,651,0.08552402243463648,0.015806396700866088
Caltech36,Greedy Modularity,8,dorm,Résidence,594,0.4129269303653906,0.2729350492557564
Caltech36,Greedy Modularity,8,major_index,Discipline,687,0.061620293968435415,0.0019283625413842238
Caltech36,Greedy Modularity,8,gender,Genre,699,0.006094599604582214,0.006014330519874547
Caltech36,Greedy Modularity,8,year,Année,651,0.0872727367682127,0.021769838302453142
MIT8,Louvain,13,dorm,Résidence,4890,0.29177503427338985,0.07048879687649913
MIT8,Louvain,13,major_index,Discipline,5413,0.045126171783860296,0.015473405451199417
MIT8,Louvain,13,gender,Genre,5799,0.012320250978102649,0.0006077296069558953
MIT8,Louvain,13,year,Année,5282,0.28823300230571286,0.27469833937416743
MIT8,Greedy Modularity,28,dorm,Résidence,4890,0.11763154694990309,0.014306371784362702
MIT8,Greedy Modularity,28,major_index,Discipline,5413,0.04474088714983432,0.016053965922750227
MIT8,Greedy Modularity,28,gender,Genre,5799,0.00463309073226721,0.0010700791524251433
MIT8,Greedy Modularity,28,year,Année,5282,0.2406532530243349,0.16290945226371636
